Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Engine_Size,Odometer_Reading,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,Vehicle_Model_Bus,Vehicle_Model_Car,Vehicle_Model_Motorcycle,Vehicle_Model_SUV,Vehicle_Model_Truck,Vehicle_Model_Van,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Type_Automatic,Transmission_Type_Manual,Owner_Type_First,Owner_Type_Second,Owner_Type_Third,Days_Since_Last_Service,Warranty_Expired
58765,2,0,4,2000,28524,20782,6,3,13,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,552,0
60353,1,1,7,2500,133630,23489,7,0,13,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,615,0
68072,0,0,2,1500,34022,17979,7,0,14,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,701,1
60849,1,4,5,2500,81636,6220,7,3,18,0,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,643,0
45742,0,5,1,2000,97162,16446,6,2,16,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,734,0
31653,1,2,1,800,70954,16813,5,3,15,2,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,655,1
51211,1,2,8,2500,145563,21057,10,0,16,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,501,0
79093,0,2,2,2000,132354,6498,3,1,12,1,0,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,747,0
59673,2,2,6,800,85733,12787,9,1,11,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,782,1
37001,2,2,9,1500,8554,20860,9,1,12,2,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,662,1
49494,1,5,10,1000,51817,27415,5,1,15,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,567,1
71128,0,3,4,1000,35751,24050,6,1,16,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,695,1
61711,0,4,8,2000,118508,11946,10,0,13,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,464,0
37517,2,4,3,2500,64195,25766,3,1,11,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,778,1
51152,0,5,6,2500,36403,22592,8,2,16,2,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,752,1
61396,0,5,1,1500,80856,10096,4,3,10,1,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,619,0
64440,0,0,7,800,6493,28210,7,3,13,2,1,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,551,1
37956,1,0,3,1000,143432,21658,3,3,10,2,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,613,0
44751,0,3,3,1000,7755,29066,10,1,16,1,1,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,491,0
41951,2,1,7,1000,104771,14615,5,1,15,0,2,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,713,1
45495,0,1,6,800,88476,19785,1,2,17,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,551,0
63280,1,3,2,800,28975,13081,6,0,10,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,684,1
79936,1,0,10,1500,15052,23551,10,3,16,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,759,0
74528,0,1,7,2000,108851,21870,5,1,13,2,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,716,0
34005,0,0,2,2500,71423,10301,6,3,13,1,2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,535,1
49957,2,5,7,800,42971,27358,8,2,17,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,581,0
36652,2,5,9,2000,88775,14164,9,0,19,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,579,1
49616,2,4,2,1000,77128,17547,8,1,19,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,737,0
65381,0,1,8,2500,141901,26750,3,2,11,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,523,1
67982,2,5,7,2500,149954,12774,4,2,19,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,632,0
33189,1,1,3,1000,148440,16791,4,1,15,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,505,1
33202,0,4,8,800,12518,24729,2,3,11,1,2,2,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,699,1
32700,2,5,4,2500,87800,14156,9,0,16,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,556,0
37777,0,4,5,800,127740,8425,8,3,17,2,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,648,1
66067,2,1,9,800,51222,24978,10,1,14,1,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,721,1
55518,0,4,8,2000,19685,16488,2,3,16,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,514,1
48586,1,2,10,800,37758,22244,10,2,16,1,1,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,636,0
43649,0,1,9,1000,17963,16252,4,3,17,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,699,0
37573,0,1,9,1500,134071,8033,3,3,13,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,472,0
66627,1,1,4,1000,130759,28093,9,1,12,0,2,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,589,1
74757,2,3,3,2000,133394,10850,9,2,13,0,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,467,1
64175,2,5,9,2500,10469,24608,2,2,13,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,591,1
77181,0,4,9,1000,111257,24739,6,3,10,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,574,1
48812,2,3,1,1500,72926,8804,8,2,17,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,647,1
58511,2,2,3,1000,131090,22436,7,0,10,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,702,1
73244,2,5,5,2500,131324,17615,6,1,18,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,609,1
72696,1,2,2,800,107864,27347,6,0,19,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,695,0
57809,2,2,2,1500,138481,22534,4,3,10,0,2,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,514,0
47601,2,0,3,800,79744,10185,9,0,13,0,2,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,569,1
31881,2,4,2,2500,60539,6583,4,0,12,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,580,1
34015,2,1,2,1000,113083,10680,10,1,19,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,729,1
37195,1,2,9,800,88378,27995,1,0,11,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,775,1
53431,2,3,10,2500,64185,29115,8,3,17,1,1,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,713,0
63839,1,1,10,1000,127210,20680,7,0,15,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,558,1
60009,1,4,10,2500,133665,16326,10,3,16,1,0,2,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,744,1
79634,0,5,9,1000,128308,7036,10,3,12,1,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,536,1
67066,0,4,3,1500,119681,28981,2,0,15,1,0,2,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,628,1
57341,1,1,1,2500,95703,17690,10,3,13,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,460,1
58631,0,5,8,2500,122883,26161,8,0,11,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,644,1
35933,0,5,7,1000,75190,13868,1,0,17,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,610,0
49770,0,5,4,2000,141638,22151,8,2,15,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,595,0
55950,0,3,3,1000,135675,10760,10,3,11,2,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,461,1
70999,0,3,1,1500,129292,15761,3,3,16,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,728,0
75317,0,4,1,2000,15487,15378,1,2,12,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,631,1
78018,0,5,6,1000,30682,27690,9,2,13,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,782,1
36869,0,5,5,2000,62035,16065,8,0,17,0,1,2,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,509,1
51458,0,4,6,1000,97034,25903,8,1,18,2,2,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,682,0
61408,0,4,5,2500,127492,24665,7,0,13,2,1,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,455,1
70448,1,5,4,1000,80546,29149,5,1,11,2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,536,1
59752,0,2,4,2000,75029,8334,2,0,15,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,541,1
48087,2,5,3,800,101551,12698,3,2,18,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,595,1
68912,0,4,7,2500,62663,17401,8,3,15,2,1,2,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,745,1
42461,0,4,6,800,129207,28891,4,1,16,1,2,2,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,586,0
30742,0,3,3,2500,84805,12670,1,2,14,1,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,597,0
43603,1,0,4,2500,135711,15571,7,2,15,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,516,1
56422,2,3,9,1500,13808,5691,6,0,11,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,685,0
54305,2,3,8,800,76189,18130,2,1,19,2,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,462,1
44627,0,2,4,2500,59745,26898,5,0,19,2,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,587,1
76781,0,5,8,800,70919,19564,10,1,11,2,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,777,0
36238,0,4,3,1000,61001,26906,9,3,17,2,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,471,1
46806,0,2,9,1500,55707,21629,6,3,16,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,660,1
37808,1,0,3,1000,115557,13651,4,2,19,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,520,1
70553,1,2,10,1500,127037,6055,10,1,17,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,584,1
73343,0,5,2,2000,59857,29036,6,2,15,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,672,0
